Date,BTC-EUR,ETH-EUR,EGLD-EUR,CRO-EUR,USD-EUR
2022-02-22,1159.31,1437.71,1733.31,1008.37,1000.18
2022-02-23,1132.13,1349.70,1712.84,1012.15,943.55
2022-02-24,1151.76,1740.79,1716.42,1009.99,987.88
2022-02-25,1074.87,933.52,1666.78,1011.69,1070.22
2022-02-26,1149.78,991.00,1667.34,1014.18,987.61
2022-02-27,1133.93,1469.81,1599.50,1014.04,1112.21
2022-02-28,1127.26,1125.99,1632.62,1015.06,920.26
2022-03-01,1128.23,1412.16,1677.88,1022.32,1084.49
2022-03-02,1157.88,1051.66,1594.57,1020.22,966.68
2022-03-03,1121.39,916.01,1654.33,1020.43,1098.00
2022-03-04,1106.13,1384.99,1574.97,1030.79,983.06
2022-03-05,1083.23,1046.24,1581.49,1030.19,1038.07
2022-03-06,1091.41,978.25,1605.62,1031.23,1096.15
2022-03-07,1111.63,1555.51,1603.47,1027.30,1053.02
2022-03-08,1131.54,1062.79,1550.25,1032.89,973.31
2022-03-09,1144.82,1680.35,1549.83,1030.44,1005.43
2022-03-10,1134.79,1738.85,1484.43,1034.70,1049.59
2022-03-11,1150.43,1651.72,1559.16,1036.53,974.41
2022-03-12,1151.21,1761.24,1484.30,1040.14,956.09
2022-03-13,1165.43,1469.96,1524.01,1038.49,1034.53
2022-03-14,1086.61,1369.12,1483.43,1048.85,953.22
2022-03-15,1121.20,897.51,1482.82,1050.32,1042.93
2022-03-16,1166.69,1292.20,1483.30,1043.54,1026.87
2022-03-17,1178.88,1224.21,1435.48,1055.30,930.37
2022-03-18,1134.52,1086.05,1406.66,1057.34,943.83
2022-03-19,1112.70,901.22,1400.19,1054.26,1060.54
2022-03-20,1160.96,1511.84,1408.58,1060.57,877.84
2022-03-21,1123.06,1561.51,1341.14,1056.29,977.25
2022-03-22,1114.41,1111.64,1361.95,1056.43,946.12
2022-03-23,1091.01,1684.96,1305.56,1066.91,881.76
2022-03-24,1104.79,1332.59,1311.85,1064.86,928.32
2022-03-25,1175.21,1709.94,1280.23,1064.84,998.71
2022-03-26,1113.79,1101.73,1304.89,1066.76,963.78
2022-03-27,1159.21,1377.96,1327.10,1068.39,896.95
2022-03-28,1126.44,1717.91,1310.19,1071.86,944.09
2022-03-29,1161.23,1533.05,1304.64,1074.97,953.85
2022-03-30,1127.16,1725.21,1227.66,1078.70,943.47
2022-03-31,1116.61,957.55,1239.12,1085.19,1023.21
2022-04-01,1143.91,1289.26,1245.66,1085.58,885.09
2022-04-02,1121.78,1046.38,1193.44,1085.56,919.54
2022-04-03,1192.67,1192.83,1214.55,1093.05,1017.22
2022-04-04,1153.01,1675.93,1168.63,1089.47,1006.85
2022-04-05,1186.65,1461.42,1082.83,1090.88,899.62
2022-04-06,1110.39,1454.19,1081.80,1092.25,928.31
2022-04-07,1185.07,1320.21,1046.53,1099.52,828.54
2022-04-08,1106.16,884.12,1055.49,1100.42,808.85
2022-04-09,1105.34,926.66,1045.86,1109.24,878.78
